Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,LogRuns,Span_Encoded
89,MDKJ Perera (SL),2013-2021,107,102,5,3071,135,31.65,3328,92.27,6,15,10,333,50,8.030084094267563,5961.454916263153
90,AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,454,25,8.344267356262645,6033.4169567223125
91,NS Sidhu (INDIA),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,335,44,8.392536586816682,6060.479519389816
92,A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103,8.534836626588833,6148.302739584839
93,A Jadeja (INDIA),1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85,8.586719254064848,6183.562136137212
94,MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21,8.841158975945264,6385.620596822948
95,GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,557+,37+,8.790573479157159,6341.253607065165
96,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117.0,6,39,30,730,351,8.99528899055931,6535.505559289121
97,RN ten Doeschate (NED),2006-2011,33,32,9,1541,119,67.0,1757,87.7,5,9,1,130,29,7.340835554123275,5686.807981019286
98,KL Rahul (INDIA),2016-2021,38,37,6,1509,112,48.67,1690,89.28,5,9,2,114,36,7.31986492980897,5774.539206065812
99,SO Hetmyer (WI),2017-2021,47,44,3,1447,139,35.29,1360,106.39,5,4,2,111,52,7.277938572945661,5631.070607497051
100,Rahmat Shah (AFG),2013-2021,76,72,3,2467,114,35.75,3493,70.62,5,16,3,215,28,7.811163385025279,5961.454916263153
101,AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,363,10,8.07246736935477,5903.178373884952
102,TWM Latham (NZ),2012-2021,102,94,11,2824,137,34.02,3373,83.72,5,16,7,239,36,7.946263643580541,5887.168951596799
103,NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,327,21,8.199189359078067,5959.51534328413
104,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,261,50,7.9658927350845286,5861.02322819134
105,GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,278,41,8.255048902752295,5986.708014425996
106,DA Miller (SA),2010-2021,137,118,35,3367,139,40.56,3339,100.83,5,16,8,247,92,8.122074375362217,5947.1580282796585
107,Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,378,37,8.082402253926244,5907.341845064568
108,PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14,376+,44+,8.209580483475577,5964.459465309924
109,Aamer Sohail (PAK),1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,467+,20+,8.472405008626103,6108.229329481036
110,RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,480,58,8.666474894131992,6241.460407228746
111,DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16,8.693664334532016,6262.277763126825
112,PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,365,74,8.535622326884605,6148.823173482291
113,DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22,8.584290934948731,6181.870725970493
114,SK Raina (INDIA),2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,476,120,8.633374945705647,6489.752275294071
115,H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,585,86,8.641002477142523,6222.4645699717485
116,RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8,541+,54+,8.740176729929082,6299.228569845917
117,BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200,8.713417653379183,6277.760671576022
118,Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514+,34+,8.877800393882575,6419.188583208601
